method,cut_layers,ratio,cut_option,accuracy
kmedoids,2,0.1,1.0,91.33
kmedoids,2,0.1,2.0,91.21999999999998
kmedoids,2,0.2,1.0,91.31333333333333
kmedoids,2,0.2,2.0,91.31333333333333
kmedoids,2,0.3,1.0,91.32666666666665
kmedoids,2,0.3,2.0,91.26333333333334
kmedoids,2,0.4,1.0,91.31333333333333
kmedoids,2,0.4,2.0,91.22333333333334
kmedoids,2,0.5,1.0,91.23333333333333
kmedoids,2,0.5,2.0,91.30000000000001
kmedoids,2,0.6,1.0,91.20666666666666
kmedoids,2,0.6,2.0,91.21666666666665
kmedoids,2,0.7,1.0,91.11
kmedoids,2,0.7,2.0,91.17333333333333
kmedoids,2,0.8,1.0,90.84666666666668
kmedoids,2,0.8,2.0,91.05
kmedoids,2,0.9,1.0,90.29
kmedoids,2,0.9,2.0,90.60666666666667
kmedoids,3,0.8,,90.02
kmedoids,3,0.9,,86.65333333333335
kmeans,2,0.1,1.0,91.34666666666665
kmeans,2,0.1,2.0,91.25999999999999
kmeans,2,0.2,1.0,91.29666666666667
kmeans,2,0.2,2.0,91.31333333333333
kmeans,2,0.3,1.0,91.29
kmeans,2,0.3,2.0,91.25
kmeans,2,0.4,1.0,91.33999999999999
kmeans,2,0.4,2.0,91.32666666666667
kmeans,2,0.5,1.0,91.23
kmeans,2,0.5,2.0,91.26333333333334
kmeans,2,0.6,1.0,91.02999999999999
kmeans,2,0.6,2.0,91.24333333333334
kmeans,2,0.7,1.0,91.03333333333335
kmeans,2,0.7,2.0,91.25666666666666
kmeans,2,0.8,1.0,90.96333333333332
kmeans,2,0.8,2.0,91.01666666666667
kmeans,2,0.9,1.0,90.58666666666666
kmeans,2,0.9,2.0,90.66333333333334
kmeans,3,0.8,,90.17666666666668
kmeans,3,0.9,,83.76666666666667
distance-based-clustering,2,0.1,1.0,91.34666666666668
distance-based-clustering,2,0.1,2.0,91.27666666666669
distance-based-clustering,2,0.2,1.0,91.31666666666666
distance-based-clustering,2,0.2,2.0,91.31
distance-based-clustering,2,0.3,1.0,91.36666666666667
distance-based-clustering,2,0.3,2.0,91.30666666666667
distance-based-clustering,2,0.4,1.0,91.27666666666669
distance-based-clustering,2,0.4,2.0,91.27
distance-based-clustering,2,0.5,1.0,91.27666666666666
distance-based-clustering,2,0.5,2.0,91.26333333333334
distance-based-clustering,2,0.6,1.0,91.26666666666667
distance-based-clustering,2,0.6,2.0,91.2
distance-based-clustering,2,0.7,1.0,91.11666666666666
distance-based-clustering,2,0.7,2.0,90.94666666666667
distance-based-clustering,2,0.8,1.0,90.56333333333335
distance-based-clustering,2,0.8,2.0,91.06333333333333
distance-based-clustering,2,0.9,1.0,89.96
distance-based-clustering,2,0.9,2.0,90.93666666666667
distance-based-clustering,3,0.8,,90.16666666666667
distance-based-clustering,3,0.9,,87.46999999999998
base,2,0.1,1.0,91.41666666666667
base,2,0.1,2.0,91.41333333333334
base,2,0.2,1.0,91.39
base,2,0.2,2.0,91.32333333333334
base,2,0.3,1.0,91.36333333333334
base,2,0.3,2.0,91.37333333333333
base,2,0.4,1.0,91.34666666666665
base,2,0.4,2.0,91.28666666666668
base,2,0.5,1.0,91.24666666666667
base,2,0.5,2.0,91.33666666666666
base,2,0.6,1.0,91.29666666666667
base,2,0.6,2.0,91.21
base,2,0.7,1.0,91.15999999999998
base,2,0.7,2.0,91.02999999999999
base,2,0.8,1.0,91.27666666666666
base,2,0.8,2.0,90.87333333333333
base,2,0.9,1.0,90.58999999999999
base,2,0.9,2.0,90.55
base,3,0.8,,90.58666666666666
base,3,0.9,,89.81333333333333
