method,cut_layers,ratio,cut_option,accuracy,prec,recall,f1
kmedoids,2,0.1,1.0,0.9133,0.9128,0.9155,0.9141
kmedoids,2,0.1,2.0,0.9122,0.914,0.9129,0.9135
kmedoids,2,0.2,1.0,0.9131,0.9141,0.9121,0.9131
kmedoids,2,0.2,2.0,0.9131,0.9135,0.9105,0.912
kmedoids,2,0.3,1.0,0.9133,0.9119,0.9121,0.912
kmedoids,2,0.3,2.0,0.9126,0.9113,0.9116,0.9114
kmedoids,2,0.4,1.0,0.9131,0.9114,0.9145,0.9129
kmedoids,2,0.4,2.0,0.9122,0.9137,0.9131,0.9134
kmedoids,2,0.5,1.0,0.9123,0.9127,0.9147,0.9137
kmedoids,2,0.5,2.0,0.913,0.9138,0.9128,0.9133
kmedoids,2,0.6,1.0,0.9121,0.9101,0.9098,0.91
kmedoids,2,0.6,2.0,0.9122,0.914,0.9134,0.9137
kmedoids,2,0.7,1.0,0.9111,0.9124,0.9127,0.9125
kmedoids,2,0.7,2.0,0.9117,0.9106,0.9121,0.9113
kmedoids,2,0.8,1.0,0.9085,0.9072,0.9101,0.9086
kmedoids,2,0.8,2.0,0.9105,0.9092,0.9105,0.9098
kmedoids,2,0.9,1.0,0.9029,0.9021,0.903,0.9026
kmedoids,2,0.9,2.0,0.9061,0.9062,0.9056,0.9059
kmedoids,3,0.8,,0.9002,0.8999,0.8974,0.8986
kmedoids,3,0.9,,0.8665,0.8657,0.8642,0.8649
kmeans,2,0.1,1.0,0.9135,0.9139,0.9107,0.9123
kmeans,2,0.1,2.0,0.9126,0.9112,0.9134,0.9123
kmeans,2,0.2,1.0,0.913,0.9121,0.9119,0.912
kmeans,2,0.2,2.0,0.9131,0.9126,0.9132,0.9129
kmeans,2,0.3,1.0,0.9129,0.9127,0.9153,0.914
kmeans,2,0.3,2.0,0.9125,0.9136,0.911,0.9123
kmeans,2,0.4,1.0,0.9134,0.9122,0.9129,0.9125
kmeans,2,0.4,2.0,0.9133,0.9133,0.9148,0.9141
kmeans,2,0.5,1.0,0.9123,0.9127,0.9107,0.9117
kmeans,2,0.5,2.0,0.9126,0.9108,0.9101,0.9105
kmeans,2,0.6,1.0,0.9103,0.9107,0.909,0.9099
kmeans,2,0.6,2.0,0.9124,0.9111,0.9104,0.9108
kmeans,2,0.7,1.0,0.9103,0.9086,0.9129,0.9108
kmeans,2,0.7,2.0,0.9126,0.9144,0.9144,0.9144
kmeans,2,0.8,1.0,0.9096,0.9115,0.9104,0.911
kmeans,2,0.8,2.0,0.9102,0.9114,0.9124,0.9119
kmeans,2,0.9,1.0,0.9059,0.9051,0.9077,0.9064
kmeans,2,0.9,2.0,0.9066,0.905,0.9048,0.9049
kmeans,3,0.8,,0.9018,0.9025,0.9041,0.9033
kmeans,3,0.9,,0.8377,0.8374,0.8379,0.8377
distance-based-clustering,2,0.1,1.0,0.9135,0.912,0.9153,0.9136
distance-based-clustering,2,0.1,2.0,0.9128,0.9127,0.9151,0.9139
distance-based-clustering,2,0.2,1.0,0.9132,0.9113,0.9121,0.9117
distance-based-clustering,2,0.2,2.0,0.9131,0.9147,0.9108,0.9127
distance-based-clustering,2,0.3,1.0,0.9137,0.9127,0.912,0.9124
distance-based-clustering,2,0.3,2.0,0.9131,0.9137,0.9126,0.9132
distance-based-clustering,2,0.4,1.0,0.9128,0.912,0.9147,0.9133
